Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
344726,The Humane Interface: New Directions for Designing Interactive Systems,Jef Raskin,"Raskin, Jef",,"=""0201379376""","=""9780201379372""",0,4.02,Addison-Wesley Professional,Paperback,233,2000,2000,,2017/04/29,to-read,to-read (#111),to-read,,,,0,0
17470674,Fahrenheit 451,Ray Bradbury,"Bradbury, Ray",,"=""0007491565""","=""9780007491568""",0,3.97,Harper Voyager,Hardcover,227,2013,1953,,2013/09/28,to-read,to-read (#23),to-read,,,,0,0
33794676,The Wim Hof Method Explained,Isabelle Hof,"Hof, Isabelle",,"=""""","=""""",0,3.92,Enahm Hof/ Innerfire,ebook,32,2016,2015,,2017/04/25,to-read,to-read (#110),to-read,,,,0,0
82333,The Satanic Bible,Anton Szandor LaVey,"LaVey, Anton Szandor",Peter H. Gilmore,"=""0380015390""","=""9780380015399""",0,3.41,Avon,Mass Market Paperback,272,1976,1969,,2017/04/04,to-read,to-read (#109),to-read,,,,0,0
1128434,"The Last Wish (The Witcher, #0.5)",Andrzej Sapkowski,"Sapkowski, Andrzej","Danusia Stok, Peter Kenny","=""0575077832""","=""9780575077836""",0,4.14,Gollancz,Hardcover,384,2007,1993,,2017/04/03,to-read,to-read (#108),to-read,,,,0,0
22937310,Stjärnklart,Lars Wilderäng,"Wilderäng, Lars",,"=""9187135914""","=""9789187135910""",0,3.61,Massolit Förlag,Hardcover,403,2014,2014,,2017/04/03,to-read,to-read (#107),to-read,,,,0,0
21487480,If Hemingway Wrote JavaScript,Angus Croll,"Croll, Angus",,"=""1593275854""","=""9781593275853""",4,4.09,No Starch Press,Paperback,192,2014,2014,2017/02/27,2017/02/27,,,read,,,,1,0
29973507,"The Wrong Side of Goodbye (Harry Bosch, #19; Harry Bosch Universe, #28)",Michael Connelly,"Connelly, Michael",,"=""""","=""""",2,4.34,Orion,Kindle Edition,401,2016,2016,2017/02/22,2017/02/01,,,read,,,,1,0
1041695,Programming Challenges: The Programming Contest Training Manual (Texts in Computer Science),Steven S. Skiena,"Skiena, Steven S.",Miguel A. Revilla,"=""0387001638""","=""9780387001630""",0,4.06,Springer,Paperback,368,2003,2003,,2017/02/09,to-read,to-read (#106),to-read,,,,0,0
127455,"The Lies of Locke Lamora (Gentleman Bastard, #1)",Scott Lynch,"Lynch, Scott",,"=""0553804677""","=""9780553804676""",0,4.30,Bantam Spectra,Hardcover,499,2006,2006,,2017/02/01,to-read,to-read (#105),to-read,,,,0,0
